,0
Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Left Ventricular Diastolic Dysfunction,"Ventricular Dysfunction, Left (MeSH ID:68018487)"
Type II Diabetes Mellitus,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Diabetic Nephropathy,Diabetic Nephropathies (MeSH ID:68003928)
"Kidney Failure, Chronic","Kidney Failure, Chronic (MeSH ID:68007676)"
Prediabetic State,Prediabetic State (MeSH ID:68011236)
Hypertensive Disease,Hypertension (MeSH ID:68006973)
Cocaine Dependence,Cocaine-Related Disorders (MeSH ID:68019970)
Ischaemic Heart Disease,Myocardial Ischemia (MeSH ID:68017202)
Coronary Heart Disease,Coronary Disease (MeSH ID:68003327)
Chronic Stable Angina,"Angina, Stable (MeSH ID:68060050)"
Severe Obesity,"Obesity, Morbid (MeSH ID:68009767)"
Heart Failure,Heart Failure (MeSH ID:68006333)
Insulin Resistance,Insulin Resistance (MeSH ID:68007333)
Schizoaffective Disorder,Psychotic Disorders (MeSH ID:68011618)
Cardiac Arrest,Heart Arrest (MeSH ID:68006323)
Coma,Coma (MeSH ID:68003128)
Psoriatic Arthritis,"Arthritis, Psoriatic (MeSH ID:68015535)"
Osteoporosis,"Osteoporosis, Postmenopausal (MeSH ID:68015663)"
Pre-Diabetes,Prediabetic State (MeSH ID:68011236)
Masked Hypertension,Masked Hypertension (MeSH ID:68059468)
Insulinoma,Insulinoma (MeSH ID:68007340)
Nesidioblastosis,Nesidioblastosis (MeSH ID:68046768)
Autoimmune Diseases,Autoimmune Diseases (MeSH ID:68001327)
Microvascular Angina,Microvascular Angina (MeSH ID:68017566)
Atherosclerosis,Atherosclerosis (MeSH ID:68050197)
Restenosis,Coronary Restenosis (MeSH ID:68023903)
"Diabetes Mellitus, Adult-Onset","Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Coronary Disease,Coronary Disease (MeSH ID:68003327)
"Shock, Cardiogenic","Shock, Cardiogenic (MeSH ID:68012770)"
Renal Failure,Renal Insufficiency (MeSH ID:68051437)
Stroke,Stroke (MeSH ID:68020521)
Brain Injury,Brain Injuries (MeSH ID:68001930)
Aortic Valve Disease,Aortic Valve Disease (MeSH ID:2052001)
Hyperinsulinemic Hypoglycemia,Congenital Hyperinsulinism (MeSH ID:68044903)
HIV Infection,HIV Infections (MeSH ID:68015658)
Primary Polydipsia,"Polydipsia, Psychogenic (MeSH ID:68059607)"
Ischemic Stroke,Ischemic Stroke (MeSH ID:2052021)
Cognitive Deficit,Cognitive Dysfunction (MeSH ID:68060825)
Craniopharyngiomas,Craniopharyngioma (MeSH ID:68003397)
Osteoarthritis,Osteoarthritis (MeSH ID:68010003)
"Osteoarthritis, Knee","Osteoarthritis, Knee (MeSH ID:68020370)"
Monoclonal Gammopathies,Paraproteinemias (MeSH ID:68010265)
Parkinson Disease,Parkinson Disease (MeSH ID:68010300)
Hepatobiliary Disorders,Digestive System Diseases (MeSH ID:68004066)
Non-alcoholic Steatohepatitis,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Smoking Cessation,Smoking Cessation (MeSH ID:68016540)
Hyperinsulinemia Hypoglycemia,Congenital Hyperinsulinism (MeSH ID:68044903)
"Steatosis, Liver",Fatty Liver (MeSH ID:68005234)
Autoimmune Diabetes,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Kidney Diseases,Kidney Diseases (MeSH ID:68007674)
Non-Alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Overweight and Obesity,Pediatric Obesity (MeSH ID:68063766)
PreDiabetes,Prediabetic State (MeSH ID:68011236)
Bipolar Disorder,Bipolar Disorder (MeSH ID:68001714)
Renal Insufficiency,Renal Insufficiency (MeSH ID:68051437)
Glucose Metabolism Disorders,Glucose Metabolism Disorders (MeSH ID:68044882)
Binge-Eating Disorder,Binge-Eating Disorder (MeSH ID:68056912)
Acute Ischemic Stroke,Ischemic Stroke (MeSH ID:2052021)
Spinal Cord Injuries,Spinal Cord Injuries (MeSH ID:68013119)
Pre Diabetes,Prediabetic State (MeSH ID:68011236)
"Infertility, Female","Infertility, Female (MeSH ID:68007247)"
Postbariatric Hypoglycemia,Hypoglycemia (MeSH ID:68007003)
Autonomic Nervous System Diseases,Autonomic Nervous System Diseases (MeSH ID:68001342)
Sweat Gland Diseases,Sweat Gland Diseases (MeSH ID:68013543)
Type II Diabetes,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Overweight or Obesity,Overweight (MeSH ID:68050177)
Non Alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Hypogonadism,Hypogonadism (MeSH ID:68007006)
NASH - Nonalcoholic Steatohepatitis,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Brain Death,Brain Death (MeSH ID:68001926)
"Weight, Body",Body Weight (MeSH ID:68001835)
Atrial Fibrillation,Atrial Fibrillation (MeSH ID:68001281)
Adolescent Obesity,Pediatric Obesity (MeSH ID:68063766)
NAFLD,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Transient Ischemic Attack,"Ischemic Attack, Transient (MeSH ID:68002546)"
Non-alcoholic Fatty Liver Disease (NAFLD),Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Non-alcoholic Steatohepatitis (NASH),Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Cardiovascular Diseases,Cardiovascular Diseases (MeSH ID:68002318)
"Sleep Apnea, Obstructive","Sleep Apnea, Obstructive (MeSH ID:68020181)"
Opioid-Related Disorders,Opioid-Related Disorders (MeSH ID:68009293)
HIV Infections,HIV Infections (MeSH ID:68015658)
"Taste, Altered",Dysgeusia (MeSH ID:68004408)
Glucose Intolerance,Glucose Intolerance (MeSH ID:68018149)
Drug Effect,Drug-Related Side Effects and Adverse Reactions (MeSH ID:68064420)
Multiple System Atrophy,Multiple System Atrophy (MeSH ID:68019578)
Chronic Kidney Diseases,"Renal Insufficiency, Chronic (MeSH ID:68051436)"
Childhood Obesity,Pediatric Obesity (MeSH ID:68063766)
Obese,Obesity (MeSH ID:68009765)
Peripheral Arterial Disease,Peripheral Arterial Disease (MeSH ID:68058729)
Covid19,COVID-19 (MeSH ID:2052179)
Myocardial Injury,Myocardial Reperfusion Injury (MeSH ID:68015428)
Atypical Endometrial Hyperplasia,Endometrial Hyperplasia (MeSH ID:68004714)
Fertility Issues,Infertility (MeSH ID:68007246)
Cystic Fibrosis,Cystic Fibrosis (MeSH ID:68003550)
Pancreatic Insufficiency,Exocrine Pancreatic Insufficiency (MeSH ID:68010188)
Pouchitis,Pouchitis (MeSH ID:68019449)
Early Alzheimer's Disease,Alzheimer Disease (MeSH ID:68000544)
Mental Disorder,Mental Disorders (MeSH ID:68001523)
Metabolic Disturbance,Ketosis (MeSH ID:68007662)
Metabolic Disease,Metabolic Diseases (MeSH ID:68008659)
Endocrine System Diseases,Endocrine System Diseases (MeSH ID:68004700)
"Obesity, Childhood",Pediatric Obesity (MeSH ID:68063766)
Albuminuria,Albuminuria (MeSH ID:68000419)
Endogenous Hyperinsulinism,Hyperinsulinism (MeSH ID:68006946)
Obesity & Overweight,Pediatric Obesity (MeSH ID:68063766)
Cocaine Use Disorder,Cocaine-Related Disorders (MeSH ID:68019970)
Chronic Inflammation,Sialadenitis (MeSH ID:68012793)
"Fatty Liver, Nonalcoholic",Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
"Atheroscleroses, Coronary",Coronary Artery Disease (MeSH ID:68003324)
Weight Loss Trajectory,Body-Weight Trajectory (MeSH ID:2028164)
"Weight Change, Body",Body Weight Changes (MeSH ID:68001836)
Asthma,Asthma (MeSH ID:68001249)
Diabete Type 2,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Liver Diseases,Liver Diseases (MeSH ID:68008107)
Schizophrenia Spectrum Disorders,Schizophrenia Spectrum and Other Psychotic Disorders (MeSH ID:68019967)
Idiopathic Intracranial Hypertension,Pseudotumor Cerebri (MeSH ID:68011559)
Cerebral Small Vessel Disease,Cerebral Small Vessel Diseases (MeSH ID:68059345)
Cardiomyopathy,Cardiomyopathies (MeSH ID:68009202)
Obstructive Sleep Apnea,"Sleep Apnea, Obstructive (MeSH ID:68020181)"
Knee Osteoarthritis,"Osteoarthritis, Knee (MeSH ID:68020370)"
Klinefelter Syndrome,Klinefelter Syndrome (MeSH ID:68007713)
Hyperinsulinism,Hyperinsulinism (MeSH ID:68006946)
Interstitial Lung Disease,"Lung Diseases, Interstitial (MeSH ID:68017563)"
Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive (MeSH ID:68029424)"
"Sarcoidosis, Pulmonary","Sarcoidosis, Pulmonary (MeSH ID:68017565)"
Pulmonary Hypertension,"Hypertension, Pulmonary (MeSH ID:68006976)"
"Obesity, Abdominal","Obesity, Abdominal (MeSH ID:68056128)"
"Metabolism Disorder, Glucose",Glucose Metabolism Disorders (MeSH ID:68044882)
"Metabolism Disorder, Lipid",Lipid Metabolism Disorders (MeSH ID:68052439)
Stroke (CVA) or Transient Ischemic Attack,Stroke (MeSH ID:68020521)
Obesity or Overweight,Overweight (MeSH ID:68050177)
Endometrial Hyperplasia,Endometrial Hyperplasia (MeSH ID:68004714)
Alcohol Use Disorder,Alcoholism (MeSH ID:68000437)
Alcohol Abuse,Alcoholism (MeSH ID:68000437)
Alcohol Addiction,Alcoholism (MeSH ID:68000437)
Alcohol Dependence,Alcoholism (MeSH ID:68000437)
"Stroke, Acute",Stroke (MeSH ID:68020521)
"Stroke, Ischemic",Ischemic Stroke (MeSH ID:2052021)
Brain Diseases,Brain Diseases (MeSH ID:68001927)
Polycystic Ovary,Polycystic Ovary Syndrome (MeSH ID:68011085)
"Fibrosis, Liver",Liver Cirrhosis (MeSH ID:68008103)
Addiction,"Behavior, Addictive (MeSH ID:68016739)"
Pseudotumor Cerebri Syndrome,Pseudotumor Cerebri (MeSH ID:68011559)
Papilledema,Papilledema (MeSH ID:68010211)
Osteopenia,"Bone Diseases, Metabolic (MeSH ID:68001851)"
Diabete Mellitus,Diabetes Mellitus (MeSH ID:68003920)
Alzheimer Disease,Alzheimer Disease (MeSH ID:68000544)
Endometrial Cancer,Endometrial Neoplasms (MeSH ID:68016889)
Atypical Hyperplasia,Endometrial Hyperplasia (MeSH ID:68004714)
Kidney Failure,Renal Insufficiency (MeSH ID:68051437)
Hypertension,Hypertension (MeSH ID:68006973)
"Scleroderma, Systemic","Scleroderma, Systemic (MeSH ID:68012595)"
Fibrosis,Fibrosis (MeSH ID:68005355)
BMI Greater Than 30,Obesity (MeSH ID:68009765)
Multiple Sclerosis,Multiple Sclerosis (MeSH ID:68009103)
Long COVID,Post-Acute COVID-19 Syndrome (MeSH ID:2103261)
Disordered Eating Behaviors,Disordered Eating Behavior (MeSH ID:2108060)
Type 2 Diabetes (Adult Onset),"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
"Susceptibility, Genetic",Genetic Predisposition to Disease (MeSH ID:68020022)
Hidradenitis Suppurativa,Hidradenitis Suppurativa (MeSH ID:68017497)
Non-Alcoholic SteatoHepatitis (NASH),Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Cognition,Cognition (MeSH ID:68003071)
"Delirium, Postoperative",Emergence Delirium (MeSH ID:2016453)
Chronic Kidney Disease (CKD),Chronic Kidney Disease-Mineral and Bone Disorder (MeSH ID:68012080)
Heart Failure With Reduced Ejection Fraction,"Heart Failure, Systolic (MeSH ID:68054143)"
Liver Disease,Liver Diseases (MeSH ID:68008107)
Breast Cancer,Breast Neoplasms (MeSH ID:68001943)
Breast Neoplasms,Breast Neoplasms (MeSH ID:68001943)
Breast Cancers,Breast Neoplasms (MeSH ID:68001943)
HER2-Negative Breast Cancer,Triple Negative Breast Neoplasms (MeSH ID:68064726)
Opioid Use Disorder,Opioid-Related Disorders (MeSH ID:68009293)
Opioid Abuse and Addiction,Opioid-Related Disorders (MeSH ID:68009293)
Narcotic-Related Disorders,Narcotic-Related Disorders (MeSH ID:2030857)
Substance-Related Disorders,Substance-Related Disorders (MeSH ID:68019966)
Chemically-Induced Disorders,Chemically-Induced Disorders (MeSH ID:68064419)
"Kidney Disease, Chronic","Renal Insufficiency, Chronic (MeSH ID:68051436)"
Body-Weight Trajectory,Body-Weight Trajectory (MeSH ID:2028164)
Autosomal Dominant Polycystic Kidney,"Polycystic Kidney, Autosomal Dominant (MeSH ID:68016891)"
Stable Angina Pectoris,"Angina, Stable (MeSH ID:68060050)"
Liver Fibrosis,Liver Cirrhosis (MeSH ID:68008103)
Weight Gain Trajectory,Body-Weight Trajectory (MeSH ID:2028164)
"Cholesterol, Elevated",Hypercholesterolemia (MeSH ID:68006937)
Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis (MeSH ID:68000690)
Obesity and Overweight,Pediatric Obesity (MeSH ID:68063766)
Infertility,Infertility (MeSH ID:68007246)
Psychiatric Disorders,Mental Disorders (MeSH ID:68001523)
Prostate Cancer,Prostatic Neoplasms (MeSH ID:68011471)
Crohn Disease,Crohn Disease (MeSH ID:68003424)
Primary Open Angle Glaucoma (POAG),"Glaucoma, Open-Angle (MeSH ID:68005902)"
Open-Angle Glaucoma,"Glaucoma, Open-Angle (MeSH ID:68005902)"
Glaucoma,Glaucoma (MeSH ID:68005901)
Treatment Adherence,Treatment Adherence and Compliance (MeSH ID:2023381)
Binge Eating Disorder,Binge-Eating Disorder (MeSH ID:68056912)
"Obesity, Adolescent",Pediatric Obesity (MeSH ID:68063766)
Diabetes Type 1,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Obesity in Diabetes,Diabesity (MeSH ID:2108227)
Insulin Sensitivity/Resistance,Insulin Resistance (MeSH ID:68007333)
Pediatric Obesity,Pediatric Obesity (MeSH ID:68063766)
Ulcerative Colitis,"Colitis, Ulcerative (MeSH ID:68003093)"
Crohn's Disease,Crohn Disease (MeSH ID:68003424)
Alcohol Abuse/Dependence,Alcoholism (MeSH ID:68000437)
Alcoholism,Alcoholism (MeSH ID:68000437)
Schizophrenia Disorders,Schizophrenia (MeSH ID:68012559)
Schizophrenia and Disorders With Psychotic Features,Schizophrenia Spectrum and Other Psychotic Disorders (MeSH ID:68019967)
Cerebrovascular Disease,Cerebrovascular Disorders (MeSH ID:68002561)
Insulin Sensitivity,Insulin Resistance (MeSH ID:68007333)
Tobacco Use,Tobacco Use (MeSH ID:68064424)
End Stage Kidney Disease (ESRD),"Kidney Failure, Chronic (MeSH ID:68007676)"
Liver Cirrhoses,"Liver Cirrhosis, Experimental (MeSH ID:68008106)"
Nicotine Addiction,Tobacco Use Disorder (MeSH ID:68014029)
Tobacco Dependence,Tobacco Use Disorder (MeSH ID:68014029)
Aortic Stenosis,Aortic Valve Stenosis (MeSH ID:68001024)
Muscle Loss,Paresis (MeSH ID:68010291)
Major Depressive Disorder,"Depressive Disorder, Major (MeSH ID:68003865)"
Musculoskeletal Abnormalities,Musculoskeletal Abnormalities (MeSH ID:68009139)
Sarcopenic Obesity,Obesity (MeSH ID:68009765)
Osteoporosis Fracture,Osteoporotic Fractures (MeSH ID:68058866)
Heart Failure Preserved Ejection Fraction,"Heart Failure, Diastolic (MeSH ID:68054144)"
Bipolar I Disorder,Bipolar Disorder (MeSH ID:68001714)
Bipolar II Disorder,Bipolar Disorder (MeSH ID:68001714)
Schizo Affective Disorder,Psychotic Disorders (MeSH ID:68011618)
Smoking Cigarette,Cigarette Smoking (MeSH ID:2023180)
HFpEF - Heart Failure With Preserved Ejection Fraction,"Heart Failure, Diastolic (MeSH ID:68054144)"
Diabetic Cardiomyopathies,Diabetic Cardiomyopathies (MeSH ID:68058065)
