,0
Brain Death (MeSH ID:68001926),OTHER
Body Weight (MeSH ID:68001835),ENDOCRINOLOGY
Atrial Fibrillation (MeSH ID:68001281),CARDIOVASCULAR
"Ischemic Attack, Transient (MeSH ID:68002546)",CARDIOVASCULAR
Opioid-Related Disorders (MeSH ID:68009293),PAIN_MANAGEMENT
Dysgeusia (MeSH ID:68004408),NEPHROLOGY
Drug-Related Side Effects and Adverse Reactions (MeSH ID:68064420),OTHER
Multiple System Atrophy (MeSH ID:68019578),CENTRAL_NERVOUS_SYSTEM
Peripheral Arterial Disease (MeSH ID:68058729),CARDIOVASCULAR
COVID-19 (MeSH ID:2052179),INFECTIOUS_DISEASES
Myocardial Reperfusion Injury (MeSH ID:68015428),CARDIOVASCULAR
Endometrial Hyperplasia (MeSH ID:68004714),GASTROINTESTINAL
Infertility (MeSH ID:68007246),RHEUMATOLOGY
Exocrine Pancreatic Insufficiency (MeSH ID:68010188),GASTROINTESTINAL
Cystic Fibrosis (MeSH ID:68003550),RARE_DISEASES
Pouchitis (MeSH ID:68019449),GASTROINTESTINAL
Mental Disorders (MeSH ID:68001523),CENTRAL_NERVOUS_SYSTEM
Ketosis (MeSH ID:68007662),ENDOCRINOLOGY
Endocrine System Diseases (MeSH ID:68004700),ENDOCRINOLOGY
Metabolic Diseases (MeSH ID:68008659),ENDOCRINOLOGY
Albuminuria (MeSH ID:68000419),NEPHROLOGY
Hyperinsulinism (MeSH ID:68006946),ENDOCRINOLOGY
Sialadenitis (MeSH ID:68012793),INFECTIOUS_DISEASES
Body-Weight Trajectory (MeSH ID:2028164),ENDOCRINOLOGY
Body Weight Changes (MeSH ID:68001836),ENDOCRINOLOGY
Asthma (MeSH ID:68001249),RESPIRATORY
Liver Diseases (MeSH ID:68008107),GASTROINTESTINAL
Schizophrenia Spectrum and Other Psychotic Disorders (MeSH ID:68019967),CENTRAL_NERVOUS_SYSTEM
Pseudotumor Cerebri (MeSH ID:68011559),CENTRAL_NERVOUS_SYSTEM
Cerebral Small Vessel Diseases (MeSH ID:68059345),CARDIOVASCULAR
Klinefelter Syndrome (MeSH ID:68007713),ENDOCRINOLOGY
"Hypertension, Pulmonary (MeSH ID:68006976)",CARDIOVASCULAR
"Sarcoidosis, Pulmonary (MeSH ID:68017565)",IMMUNOLOGY
"Pulmonary Disease, Chronic Obstructive (MeSH ID:68029424)",RESPIRATORY
"Lung Diseases, Interstitial (MeSH ID:68017563)",RESPIRATORY
Lipid Metabolism Disorders (MeSH ID:68052439),ENDOCRINOLOGY
"Obesity, Abdominal (MeSH ID:68056128)",ENDOCRINOLOGY
Alcoholism (MeSH ID:68000437),ENDOCRINOLOGY
Brain Diseases (MeSH ID:68001927),CENTRAL_NERVOUS_SYSTEM
Liver Cirrhosis (MeSH ID:68008103),HEMATOLOGY
"Behavior, Addictive (MeSH ID:68016739)",OTHER
Papilledema (MeSH ID:68010211),NEPHROLOGY
"Bone Diseases, Metabolic (MeSH ID:68001851)",ENDOCRINOLOGY
Endometrial Neoplasms (MeSH ID:68016889),ONCOLOGY
Fibrosis (MeSH ID:68005355),OTHER
"Scleroderma, Systemic (MeSH ID:68012595)",IMMUNOLOGY
Post-Acute COVID-19 Syndrome (MeSH ID:2103261),IMMUNOLOGY
Multiple Sclerosis (MeSH ID:68009103),CENTRAL_NERVOUS_SYSTEM
Disordered Eating Behavior (MeSH ID:2108060),ENDOCRINOLOGY
Genetic Predisposition to Disease (MeSH ID:68020022),OTHER
Hidradenitis Suppurativa (MeSH ID:68017497),DERMATOLOGY
Cognition (MeSH ID:68003071),CENTRAL_NERVOUS_SYSTEM
Emergence Delirium (MeSH ID:2016453),CENTRAL_NERVOUS_SYSTEM
Chronic Kidney Disease-Mineral and Bone Disorder (MeSH ID:68012080),NEPHROLOGY
"Heart Failure, Systolic (MeSH ID:68054143)",CARDIOVASCULAR
Breast Neoplasms (MeSH ID:68001943),ONCOLOGY
Triple Negative Breast Neoplasms (MeSH ID:68064726),ONCOLOGY
Narcotic-Related Disorders (MeSH ID:2030857),PAIN_MANAGEMENT
Chemically-Induced Disorders (MeSH ID:68064419),OTHER
Substance-Related Disorders (MeSH ID:68019966),OTHER
"Polycystic Kidney, Autosomal Dominant (MeSH ID:68016891)",NEPHROLOGY
Hypercholesterolemia (MeSH ID:68006937),ENDOCRINOLOGY
Amyotrophic Lateral Sclerosis (MeSH ID:68000690),NEPHROLOGY
Prostatic Neoplasms (MeSH ID:68011471),ONCOLOGY
Crohn Disease (MeSH ID:68003424),GASTROINTESTINAL
Glaucoma (MeSH ID:68005901),OPHTHALMOLOGY
"Glaucoma, Open-Angle (MeSH ID:68005902)",OPHTHALMOLOGY
Treatment Adherence and Compliance (MeSH ID:2023381),OTHER
"Colitis, Ulcerative (MeSH ID:68003093)",GASTROINTESTINAL
Cerebrovascular Disorders (MeSH ID:68002561),CARDIOVASCULAR
Tobacco Use (MeSH ID:68064424),OTHER
"Liver Cirrhosis, Experimental (MeSH ID:68008106)",NEPHROLOGY
Tobacco Use Disorder (MeSH ID:68014029),OTHER
Aortic Valve Stenosis (MeSH ID:68001024),CARDIOVASCULAR
Lipodystrophy (MeSH ID:68008060),ENDOCRINOLOGY
Paresis (MeSH ID:68010291),NEPHROLOGY
"Depressive Disorder, Major (MeSH ID:68003865)",CENTRAL_NERVOUS_SYSTEM
Musculoskeletal Abnormalities (MeSH ID:68009139),PAIN_MANAGEMENT
Osteoporotic Fractures (MeSH ID:68058866),GERIATRICS
Cigarette Smoking (MeSH ID:2023180),OTHER
Diabetic Cardiomyopathies (MeSH ID:68058065),CARDIOVASCULAR
